trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
626,False,"{'a': 0.5, 'e': 0.5345589798201541}",25,8,-2.4690734509341943,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 0}",1
627,False,"{'a': 0.5, 'e': 0.534024420840334}",20,15,2.23904487099075,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
628,False,"{'a': 0.5, 'e': 0.5334903964194936}",20,10,17.2694517606813,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
629,False,"{'a': 0.5, 'e': 0.5329569060230741}",20,11,13.949364735044856,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.5, 'e': 0.532423949117051}",25,0,-69.98903138995072,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
631,False,"{'a': 0.5, 'e': 0.531891525167934}",20,15,4.881434930247916,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
632,False,"{'a': 0.5, 'e': 0.5313596336427661}",20,10,16.7827477143377,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.5, 'e': 0.5308282740091232}",20,8,-44.66007693940192,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
634,False,"{'a': 0.5, 'e': 0.5302974457351142}",20,0,-111.23574924918259,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
635,False,"{'a': 0.5, 'e': 0.5297671482893791}",30,8,-3.217847839449983,"{0: 19, 1: 2, 2: 0, 3: 1, 4: 0}",1
636,False,"{'a': 0.5, 'e': 0.5292373811410898}",20,12,15.381754786033413,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.5, 'e': 0.5287081437599487}",25,0,-30.192294203893876,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 0}",0
638,False,"{'a': 0.5, 'e': 0.5281794356161887}",25,12,-6.16318811810087,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
639,False,"{'a': 0.5, 'e': 0.5276512561805725}",20,7,1.3942050349280413,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
640,False,"{'a': 0.5, 'e': 0.5271236049243919}",30,7,-40.96315929185487,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
641,False,"{'a': 0.5, 'e': 0.5265964813194676}",25,14,19.424531306767676,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.5, 'e': 0.5260698848381481}",20,0,8.612440059692672,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
643,False,"{'a': 0.5, 'e': 0.5255438149533099}",20,15,4.2436041709391485,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.5, 'e': 0.5250182711383566}",25,0,-57.19833180975122,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
645,False,"{'a': 0.5, 'e': 0.5244932528672183}",25,6,-10.63471141408213,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
646,False,"{'a': 0.5, 'e': 0.5239687596143511}",30,0,-59.75802705542096,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
647,False,"{'a': 0.5, 'e': 0.5234447908547367}",30,0,-6.563215061685899,"{0: 24, 1: 5, 2: 1, 3: 0, 4: 0}",0
648,False,"{'a': 0.5, 'e': 0.522921346063882}",20,0,-66.63760195889144,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
649,False,"{'a': 0.5, 'e': 0.522398424717818}",20,10,9.149359679992559,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
650,False,"{'a': 0.5, 'e': 0.5218760262931003}",30,14,-13.092616105706263,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 0}",1
651,False,"{'a': 0.5, 'e': 0.5213541502668072}",25,11,13.602494318616394,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
652,False,"{'a': 0.5, 'e': 0.5208327961165404}",25,13,-17.18990634678986,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
653,False,"{'a': 0.5, 'e': 0.5203119633204238}",20,12,17.235064120439503,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
654,False,"{'a': 0.5, 'e': 0.5197916513571034}",20,7,-6.171142736132385,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
655,False,"{'a': 0.5, 'e': 0.5192718597057463}",35,0,-92.25781860117196,"{0: 27, 1: 2, 2: 4, 3: 0, 4: 2}",0
656,False,"{'a': 0.5, 'e': 0.5187525878460405}",20,14,-14.779743088838789,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
657,False,"{'a': 0.5, 'e': 0.5182338352581944}",35,9,-105.11243995759868,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 2}",1
658,False,"{'a': 0.5, 'e': 0.5177156014229363}",25,12,-126.52862355387903,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 3}",1
659,False,"{'a': 0.5, 'e': 0.5171978858215134}",25,12,-31.668213194065693,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
660,False,"{'a': 0.5, 'e': 0.5166806879356919}",30,0,-112.03517609162961,"{0: 23, 1: 0, 2: 3, 3: 2, 4: 2}",0
661,False,"{'a': 0.5, 'e': 0.5161640072477562}",25,8,-88.663387354443,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 2}",1
662,False,"{'a': 0.5, 'e': 0.5156478432405085}",25,0,-125.28197737044896,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
663,False,"{'a': 0.5, 'e': 0.515132195397268}",20,0,-44.68600762664598,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
664,False,"{'a': 0.5, 'e': 0.5146170632018707}",20,8,-22.377529922194675,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
665,False,"{'a': 0.5, 'e': 0.5141024461386688}",25,0,-93.38307399092812,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
666,False,"{'a': 0.5, 'e': 0.5135883436925301}",20,7,-87.93089187899508,"{0: 6, 1: 2, 2: 3, 3: 1, 4: 1}",1
667,False,"{'a': 0.5, 'e': 0.5130747553488376}",20,2,-8.265250690980825,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
668,False,"{'a': 0.5, 'e': 0.5125616805934888}",20,13,8.97262157204294,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
